artist1,artist1_normalized,artist2,artist2_normalized,shows_together
Denys Fetotov,denys fetotov,Jordan Jacobson,jordan jacobson,1
The Lovestrange,the lovestrange,Wild Ones,wild ones,1
TerraQ,terraq,Up to Snuff,up to snuff,1
Acoustic Showcase: James McIntyre,acoustic showcase: james mcintyre,Jordan Jacobson,jordan jacobson,1
Soul Research Foundation,soul research foundation,The Inevitables,the inevitables,1
"Festive People ""EP Release","festive people ""ep release",The Saturday Giant,the saturday giant,1
Deadtooth,deadtooth,Wild Ones,wild ones,1
Jordan Jacobson,jordan jacobson,Seth Brown,seth brown,1
Spirit City,spirit city,The Saturday Giant,the saturday giant,1
Deadtooth,deadtooth,The Lovestrange,the lovestrange,1
Barsie,barsie,Sepia Ria,sepia ria,1
Arvos,arvos,Queenadilla,queenadilla,1
Diatom,diatom,Gils,gils,1
"Festive People ""EP Release","festive people ""ep release",Spirit City,spirit city,1
Date Night,date night,Likelihood,likelihood,1
Dominic Balli,dominic balli,Emily Hearn,emily hearn,1
Matt Skaggs,matt skaggs,Steel Born Buffalo,steel born buffalo,1
Batty Blue,batty blue,Misspelt + Mouth Reader,misspelt + mouth reader,1
Cotton Bones,cotton bones,TerraQ,terraq,1
Mideau,mideau,The Brocks,the brocks,1
Brittany Joell,brittany joell,Cedric,cedric,1
Cotton Bones,cotton bones,The Naked Waiters,the naked waiters,1
Miles Out,miles out,Two Nations,two nations,1
Dry Erase Tracks,dry erase tracks,Likelihood,likelihood,1
Quiet House,quiet house,Timmy The Teeth,timmy the teeth,1
Dry Erase Tracks,dry erase tracks,Echo Mind,echo mind,1
Cotton Bones,cotton bones,Up to Snuff,up to snuff,1
Carlos Viitanen,carlos viitanen,Paul Travis,paul travis,1
Bectics,bectics,Lost in Bourbon,lost in bourbon,1
"Foreign Figures""Single Release","foreign figures""single release",The Federal Empire,the federal empire,1
Maddie Wilson,maddie wilson,"Ryan Hayes ""EP Release","ryan hayes ""ep release",1
Ocean Commotion,ocean commotion,The Lovestrange,the lovestrange,1
POLYTYPE,polytype,Sego,sego,1
Goldmyth,goldmyth,The Mckeon Sisters,the mckeon sisters,1
Emily Brown,emily brown,Goldmyth,goldmyth,1
Donnie B,donnie b,Jeff Stone,jeff stone,1
The Naked Waiters,the naked waiters,Up to Snuff,up to snuff,1
Barsie,barsie,Violet Waves,violet waves,1
Denys Fetotov,denys fetotov,Seth Brown,seth brown,1
Date Night,date night,Echo Mind,echo mind,1
Date Night,date night,Dry Erase Tracks,dry erase tracks,1
Sepia Ria,sepia ria,Violet Waves,violet waves,1
Jeff Stone,jeff stone,Peter Harper,peter harper,1
Echo Mind,echo mind,Likelihood,likelihood,1
Cory Mon,cory mon,Donnie B,donnie b,1
Emilee Holgate,emilee holgate,Emily Brown,emily brown,1
Emilee Holgate,emilee holgate,The Mckeon Sisters,the mckeon sisters,1
Donnie B,donnie b,Peter Harper,peter harper,1
Emily Brown,emily brown,The Mckeon Sisters,the mckeon sisters,1
Emilee Holgate,emilee holgate,Goldmyth,goldmyth,1
The New Electric Sound,the new electric sound,Wild Ones,wild ones,1
Jukebox Antihero,jukebox antihero,Soundhouse BOTB: Lo-Fi Riot,soundhouse botb: lo-fi riot,1
Acoustic Showcase: James McIntyre,acoustic showcase: james mcintyre,Denys Fetotov,denys fetotov,1
Coral Bones,coral bones,NA-G,na-g,1
I/O,i/o,Violet Waves,violet waves,1
Festive People,festive people,Static Waves,static waves,1
BOTB FINALS! Steven Halliday,botb finals! steven halliday,Drape,drape,1
Festive People,festive people,RKDN,rkdn,1
Okkah,okkah,Richie Kissinger,richie kissinger,1
BOTB FINALS! Steven Halliday,botb finals! steven halliday,Grey Glass,grey glass,1
Alarm Call,alarm call,I/O,i/o,1
Drape,drape,Spirit City,spirit city,1
Lemon,lemon,Temples,temples,1
Drape,drape,Grey Glass,grey glass,1
11 The National Parks,11 the national parks,Brumby,brumby,1
11 The National Parks,11 the national parks,Westward The Tide,westward the tide,1
Le Mule,le mule,Temples,temples,1
BOTB FINALS! Steven Halliday,botb finals! steven halliday,Spirit City,spirit city,1
Black Tie Event,black tie event,Drink Up Gerald,drink up gerald,1
Brumby SOLD OUT,brumby sold out,Westward The Tide,westward the tide,1
Brumby SOLD OUT,brumby sold out,The National Parks,the national parks,1
Alarm Call,alarm call,Violet Waves,violet waves,1
Conquer Monster,conquer monster,New Shack,new shack,1
New Shack,new shack,s2_cool,s2_cool,1
Claire Elise,claire elise,Kitfox,kitfox,1
Kathleen Frewin,kathleen frewin,Paul Travis,paul travis,1
Batty Blue,batty blue,Paul Travis,paul travis,1
Rumble Gums,rumble gums,The Arvos,the arvos,1
Batty Blue,batty blue,Kathleen Frewin,kathleen frewin,1
Red Dog Revival,red dog revival,The Arvos,the arvos,1
Red Dog Revival,red dog revival,Rumble Gums,rumble gums,1
Laura Lamn,laura lamn,s2_cool,s2_cool,1
Conquer Monster,conquer monster,Laura Lamn,laura lamn,1
Laura Lamn,laura lamn,New Shack,new shack,1
Claire Elise,claire elise,The Sash,the sash,1
Bectics,bectics,Queenadilla,queenadilla,1
04 MATT POND PA,04 matt pond pa,RuRu,ruru,1
Deadtooth,deadtooth,Drape,drape,1
Soundhouse BOTB: Lo-Fi Riot,soundhouse botb: lo-fi riot,Vicious Beat,vicious beat,1
Hooligans Brass Band,hooligans brass band,Jukebox Antihero,jukebox antihero,1
Jackpines,jackpines,Starcrossed Loners,starcrossed loners,1
Hooligans Brass Band,hooligans brass band,Soundhouse BOTB: Lo-Fi Riot,soundhouse botb: lo-fi riot,1
Jukebox Antihero,jukebox antihero,Vicious Beat,vicious beat,1
Lost in Bourbon,lost in bourbon,Starcrossed Loners,starcrossed loners,1
Jackpines,jackpines,Lost in Bourbon,lost in bourbon,1
Conquer Monster,conquer monster,s2_cool,s2_cool,1
BOTB FINALS! Steven Halliday,botb finals! steven halliday,Festive People,festive people,1
S.H. BOTB:Kingston Winter,s.h. botb:kingston winter,The Inevitables,the inevitables,1
S.H. BOTB:Kingston Winter,s.h. botb:kingston winter,Simple Talk,simple talk,1
S.H. BOTB:Kingston Winter,s.h. botb:kingston winter,Soul Research Foundation,soul research foundation,1
Simple Talk,simple talk,The Inevitables,the inevitables,1
Diatom,diatom,Drape,drape,1
Deadtooth,deadtooth,Diatom,diatom,1
Libbie Linton,libbie linton,Okkah,okkah,1
Jordan Moyes,jordan moyes,Kimberly Knighton,kimberly knighton,1
Adalyn Gaston,adalyn gaston,Jordan Moyes,jordan moyes,1
Jordan Moyes,jordan moyes,"Mark Carey""EP Release","mark carey""ep release",1
Adalyn Gaston,adalyn gaston,Kimberly Knighton,kimberly knighton,1
